generation,best_fitness,mean_fitness
0,253.1397582965188,20.410041088482405
1,253.1397582965188,38.58547761777815
2,362.79510875794307,73.46878622307835
3,362.79510875794307,72.15839661180962
4,366.29253642440125,205.71689966727263
5,540.9502267318061,275.7690744282759
6,540.9502267318061,321.11611924413455
7,639.1450940404999,283.71470446636874
8,639.1450940404999,303.398598756622
9,639.7397979300822,330.4022118268701
10,646.2794793454849,403.58024164067507
11,646.2794793454849,411.43777668274754
12,648.9519727543089,374.06407685903184
13,648.9519727543089,444.63434803936786
14,651.784780717229,469.97330266455384
15,652.539463210738,511.32668879750247
16,652.9774813457351,508.8999118835237
17,653.5430644667051,461.32344973004564
18,656.8621633382842,556.4400700039262
19,660.8457985850802,463.2485607779404
